Date,Price,Open,High,Low,Change %
"May 30, 1984",386.4,386.4,386.4,386.4,0.21%
"May 29, 1984",385.6,385.6,385.6,385.6,0.36%
"May 25, 1984",384.2,384.2,384.2,384.2,2.29%
"May 24, 1984",375.6,375.6,375.6,375.6,-0.77%
"May 23, 1984",378.5,378.5,378.5,378.5,-0.26%
"May 22, 1984",379.5,379.5,379.5,379.5,-0.32%
"May 21, 1984",380.7,380.7,380.7,380.7,1.36%
"May 18, 1984",375.6,375.6,375.6,375.6,-0.24%
"May 17, 1984",376.5,376.5,376.5,376.5,0.35%
"May 16, 1984",375.2,375.2,375.2,375.2,0.54%
"May 15, 1984",373.2,373.2,373.2,373.2,0.19%
"May 14, 1984",372.5,372.5,372.5,372.5,0.00%
"May 11, 1984",372.5,372.5,372.5,372.5,0.22%
"May 10, 1984",371.7,371.7,371.7,371.7,-0.24%
"May 09, 1984",372.6,372.6,372.6,372.6,0.30%
"May 08, 1984",371.5,371.5,371.5,371.5,-0.80%
"May 07, 1984",374.5,374.5,374.5,374.5,-0.58%
"May 04, 1984",376.7,376.7,376.7,376.7,-0.48%
"May 03, 1984",378.5,378.5,378.5,378.5,0.32%
"May 02, 1984",377.3,377.3,377.3,377.3,0.21%
"May 01, 1984",376.5,376.5,376.5,376.5,0.19%
"Apr 30, 1984",375.8,375.8,375.8,375.8,-0.90%
"Apr 27, 1984",379.2,379.2,379.2,379.2,-0.18%
"Apr 26, 1984",379.9,379.9,379.9,379.9,-0.63%
"Apr 25, 1984",382.3,382.3,382.3,382.3,-0.23%
"Apr 24, 1984",383.2,383.2,383.2,383.2,-1.03%
"Apr 23, 1984",387.2,387.2,387.2,387.2,0.60%
"Apr 19, 1984",384.9,384.9,384.9,384.9,1.16%
"Apr 18, 1984",380.5,380.5,380.5,380.5,0.08%
"Apr 17, 1984",380.2,380.2,380.2,380.2,0.03%
"Apr 16, 1984",380.1,380.1,380.1,380.1,0.24%
"Apr 13, 1984",379.2,379.2,379.2,379.2,-0.71%
"Apr 12, 1984",381.9,381.9,381.9,381.9,-0.68%
"Apr 11, 1984",384.5,384.5,384.5,384.5,0.84%
"Apr 10, 1984",381.3,381.3,381.3,381.3,-0.29%
"Apr 09, 1984",382.4,382.4,382.4,382.4,0.58%
"Apr 06, 1984",380.2,380.2,380.2,380.2,-0.26%
"Apr 05, 1984",381.2,381.2,381.2,381.2,0.00%
"Apr 04, 1984",381.2,381.2,381.2,381.2,0.21%
"Apr 03, 1984",380.4,380.4,380.4,380.4,-1.76%
"Apr 02, 1984",387.2,387.2,387.2,387.2,-0.33%
"Mar 30, 1984",388.5,388.5,388.5,388.5,-0.44%
"Mar 29, 1984",390.2,390.2,390.2,390.2,1.17%
"Mar 28, 1984",385.7,385.7,385.7,385.7,-0.80%
"Mar 27, 1984",388.8,388.8,388.8,388.8,0.36%
"Mar 26, 1984",387.4,387.4,387.4,387.4,-0.13%
"Mar 23, 1984",387.9,387.9,387.9,387.9,-0.36%
"Mar 22, 1984",389.3,389.3,389.3,389.3,-0.76%
"Mar 21, 1984",392.3,392.3,392.3,392.3,-0.38%
"Mar 20, 1984",393.8,393.8,393.8,393.8,0.05%
"Mar 19, 1984",393.6,393.6,393.6,393.6,0.23%
"Mar 16, 1984",392.7,392.7,392.7,392.7,-0.46%
"Mar 15, 1984",394.5,394.5,394.5,394.5,-1.30%
"Mar 14, 1984",399.7,399.7,399.7,399.7,0.63%
"Mar 13, 1984",397.2,397.2,397.2,397.2,0.38%
"Mar 12, 1984",395.7,395.7,395.7,395.7,-1.05%
"Mar 09, 1984",399.9,399.9,399.9,399.9,0.68%
