,predicted_volatility,actual_volatility
849,1.9288848638534546,8.392546485544333
850,1.9340604543685913,8.2321421793166
851,1.9367234706878662,8.294738303322804
852,1.937199354171753,8.969730312408155
853,1.9400690793991089,8.969004562796815
854,1.9500046968460083,8.761355265705372
855,1.9668186902999878,8.783541408760357
856,1.9887710809707642,8.722397416415374
857,2.0122432708740234,8.888950116029182
858,2.03448748588562,9.300259826137884
859,2.055816411972046,9.339829274074685
860,2.0783300399780273,8.98305244927741
861,2.0996973514556885,8.808845751656731
862,2.116184949874878,8.726899062328844
863,2.1240334510803223,8.671196457366229
864,2.121076822280884,8.632809208509967
865,2.107499599456787,8.606999659315775
866,2.0851595401763916,8.534236344722158
867,2.057063102722168,8.527314741641604
868,2.0267879962921143,8.550165776210783
869,1.9977089166641235,8.615423909336434
870,1.9732760190963745,8.448875029276543
871,1.9552147388458252,8.459447889017023
872,1.943108081817627,8.44645981075679
873,1.934416651725769,8.30151528355704
874,1.9283862113952637,8.315609520871602
875,1.9240868091583252,8.407430628466786
876,1.9207127094268799,8.383786043392128
877,1.9183247089385986,8.38470576389032
878,1.91641366481781,8.193397586351574
879,1.9129440784454346,8.124043097578685
880,1.9071301221847534,8.115853843705306
881,1.8994231224060059,8.14695175875984
882,1.890160322189331,8.05659124354213
883,1.879614233970642,8.05656452261102
884,1.8684152364730835,7.904632161394836
885,1.8564238548278809,7.902397532362
886,1.8436822891235352,7.889171853633055
887,1.8307205438613892,7.844185934599257
888,1.8178781270980835,7.4719926473493725
889,1.8032642602920532,7.469532469721636
890,1.7853991985321045,7.214524789060986
891,1.7631629705429077,7.220728904282878
892,1.7362250089645386,7.221830088296534
893,1.7061622142791748,7.206042598301099
894,1.6758085489273071,7.198571266832243
895,1.6476519107818604,7.0458852291430745
896,1.6228336095809937,6.885712265302712
897,1.6012539863586426,6.890781226075817
898,1.5824309587478638,6.72664754101211
899,1.5655570030212402,6.66309743081662
900,1.5493340492248535,6.400800219444449
901,1.5315512418746948,6.207406297199323
902,1.5098350048065186,5.267400965993752
903,1.4781007766723633,5.267869693501451
904,1.4326355457305908,5.271776879452903
905,1.374620795249939,5.27120220109442
906,1.3085649013519287,5.278247655975336
907,1.2410814762115479,4.831703072751206
908,1.1764681339263916,4.128727467923524
909,1.1146206855773926,4.081454908886487
910,1.054000735282898,4.115999284446823
911,0.9951933026313782,4.452157344035652
912,0.9416905641555786,4.452720361551143
913,0.897739052772522,4.4574948127997
914,0.8666082620620728,4.429060975509535
915,0.8494983911514282,4.323240349087212
916,0.8451730608940125,4.340063185707984
917,0.8509228229522705,4.383529040043894
918,0.8634083867073059,4.351437333492121
919,0.8793197274208069,4.140363809676379
920,0.8945513963699341,4.143128444224999
921,0.905993640422821,4.139764948662173
922,0.9120018482208252,4.082589775102073
923,0.9127423763275146,4.024278727352742
924,0.9086053967475891,3.9781720046297475
925,0.8998964428901672,3.779693586768979
926,0.8866297602653503,3.7060564686004787
927,0.8690037131309509,3.7001660093577855
928,0.8483147621154785,3.6470944159688377
929,0.8266476988792419,3.630519130003698
930,0.8057540655136108,3.6156703035192552
931,0.7866793870925903,3.506200754039356
932,0.7695248126983643,3.579916604408796
933,0.7546879649162292,3.5911819874599957
934,0.7429240942001343,3.4956631909203213
935,0.7342290878295898,3.4963989153000243
936,0.72829669713974,3.495770052950965
937,0.7246419191360474,3.5436025932388557
938,0.7228904366493225,3.5743871686146207
939,0.7229365706443787,3.579127265208449
940,0.7248294949531555,3.6783060164104473
