Date,Bonds_10year,NASDAQ_100,NIKKEI_225,XAU_USD
1980-08-11,11.03,177.110001,6778.540039,617.0
1980-08-12,10.98,176.619995,6801.680176000001,605.0
1980-08-13,10.89,177.020004,6834.319823999999,615.25
1980-08-14,10.9,178.759995,6824.0,626.0
1980-08-15,10.86,179.889999,6836.819823999999,624.5
1980-08-18,11.13,177.240005,6835.779785,612.5
1980-08-19,11.24,176.279999,6864.549805,624.0
1980-08-20,11.22,177.679993,6878.759765999999,634.75
1980-08-21,11.3,179.91000400000001,6853.689941,645.25
1980-08-22,11.13,181.699997,6886.160156,639.2
1980-08-25,11.4,181.580002,6922.990234000001,634.75
1980-08-26,11.42,182.389999,6906.049805,628.85
1980-08-27,11.67,182.149994,6930.660156,633.85
1980-08-28,11.89,180.990005,6879.830078,635.3
1980-08-29,11.55,181.520004,6914.080078,631.25
1980-09-02,11.32,182.33999599999999,6915.399901999999,640.0
1980-09-03,11.08,184.529999,6927.27002,636.75
1980-09-04,11.16,185.050003,6917.560059,647.25
1980-09-05,11.21,185.610001,6943.689941,651.0
1980-09-08,11.29,184.449997,6938.419922,672.0
1980-09-09,11.19,184.83999599999999,6937.97998,670.5
1980-09-10,11.14,186.309998,6956.209961,686.5
1980-09-11,11.32,188.16000400000001,6978.890137,674.0
1980-09-12,11.37,189.580002,7000.040039,685.5
1980-09-16,11.52,191.309998,7020.160156,668.0
1980-09-17,11.57,193.949997,7031.509765999999,673.0
1980-09-18,11.53,193.610001,7035.839844,672.25
1980-09-19,11.33,195.330002,7041.660156,674.0
1980-09-22,11.69,195.940002,7046.509765999999,710.0
1980-09-24,11.75,195.179993,6972.620117,710.5
1980-09-25,11.91,194.050003,6989.839844,697.75
1980-09-26,11.99,190.770004,6998.52002,698.25
1980-09-29,12.07,185.78999299999998,7060.75,679.25
1980-09-30,11.86,187.759995,7076.459961,666.75
1980-10-01,11.78,189.619995,7123.080078,682.0
1980-10-02,11.83,190.809998,7119.399901999999,665.75
1980-10-03,11.4,193.429993,7142.240234000001,660.5
1980-10-06,11.35,196.009995,7155.97998,675.8
1980-10-07,11.43,196.169998,7149.910156,678.15
1980-10-08,11.51,197.179993,7115.330078,677.0
1980-10-09,11.39,197.529999,7130.299805,690.0
1980-10-14,11.37,199.020004,7157.799805,668.5
1980-10-15,11.29,199.429993,7174.27002,678.3
