,Date,Bonds_10year,BON_Returns_Rolling_Std
4505,1998-01-09,-1.5736505032022063,0.7898054106752491
4506,1998-01-12,-0.1673173452314436,0.7666160699294845
4507,1998-01-13,0.5400372439478662,0.7637831096464684
4508,1998-01-14,0.7408779403593302,0.7617569998844675
4509,1998-01-15,0.3861003861003853,0.7649908330066774
4510,1998-01-16,0.9706959706959672,0.7542422648256992
4511,1998-01-20,0.5985851623435678,0.7518091879717909
4512,1998-01-21,-0.3786512802019471,0.7525428187541574
4513,1998-01-22,0.1447963800905061,0.7487721476360576
4514,1998-01-23,2.7110066871498084,0.8492512032133068
4515,1998-01-26,-1.1789547774063047,0.8613226933091951
4516,1998-01-27,1.1930199430199462,0.8794863076494867
4517,1998-01-28,-0.07038535984514871,0.8779626198682388
4518,1998-01-29,-2.1482655397076944,0.9262013489481508
4519,1998-01-30,-0.8097894547417828,0.9315282381330873
4520,1998-02-02,0.8164005805515462,0.940592715958801
4521,1998-02-03,-0.21594385459781096,0.9383030363619217
4522,1998-02-04,0.07213706041480084,0.9356376406784652
4523,1998-02-05,0.9010632546404772,0.945240177792744
4524,1998-02-06,0.05358099660652815,0.9372586709222831
4525,1998-02-09,0.6783291681542236,0.943155709162113
4526,1998-02-10,-0.30141843971630555,0.9428099259420544
4527,1998-02-11,-0.8892050506846827,0.9497256053061107
4528,1998-02-12,-0.8612955320294269,0.9559195381587337
4529,1998-02-13,-0.9049773755656187,0.9623709745402015
4530,1998-02-17,-0.8219178082191747,0.9668685568118277
4531,1998-02-18,0.8287292817679592,0.9756608029429072
4532,1998-02-19,0.3835616438356393,0.9651663361110764
4533,1998-02-20,0.5094614264919972,0.9589296888540152
4534,1998-02-23,0.8327299058653148,0.9687500916358895
4535,1998-02-24,1.8671454219030488,1.0036783696276006
4536,1998-02-25,-1.0222065562213722,0.995987016187076
4537,1998-02-26,0.445156695156701,0.9801791423122491
4538,1998-02-27,-0.4431838326537929,0.9777456692088421
4539,1998-03-02,1.5491452991453158,1.0034556389282792
4540,1998-03-03,0.8942661756969894,1.0089033500266733
4541,1998-03-04,-0.06951685783801452,1.0036352339291186
4542,1998-03-05,0.29565217391305243,0.9997855466141116
4543,1998-03-06,-0.9537020981446264,1.0093130276522377
4544,1998-03-09,-0.9628851540616212,1.0183211479937406
4545,1998-03-10,-0.07070885628426282,1.0180957296412638
4546,1998-03-11,-0.6545197240403366,1.0217278364772069
4547,1998-03-12,-1.1217948717948678,1.0323726221841658
4548,1998-03-13,0.3061408247793995,1.028499424735964
4549,1998-03-16,-0.754039497307013,1.0276748954965558
4550,1998-03-17,0.3798842257597856,1.0095534117570821
4551,1998-03-18,0.21625518111370035,0.9290882571453408
4552,1998-03-19,0.23377090451357496,0.9269024158439955
4553,1998-03-20,-0.23322569070685084,0.9175042152497792
4554,1998-03-23,0.0,0.9027011732311546
4555,1998-03-24,0.0,0.8722539528731887
4556,1998-03-25,1.132889768027323,0.8843233860283813
4557,1998-03-26,0.6045519203414118,0.8850308326931492
4558,1998-03-27,0.2120890774125028,0.8803338216119463
