Date,NIKKEI_225
1980-09-03,0.17164760054682038
1980-09-04,-0.14017009546279935
1980-09-05,0.3777326366108502
1980-09-08,-0.07589651964270416
1980-09-09,-0.006340665525372824
1980-09-10,0.26275632176153696
1980-09-11,0.3260421425913984
1980-09-12,0.30305537964940843
1980-09-16,0.2874285988066161
1980-09-17,0.16167166770830743
1980-09-18,0.061581056474357965
1980-09-19,0.08272377042468637
1980-09-22,0.06887026486028791
1980-09-24,-1.048599256280358
1980-09-25,0.2469620703703157
1980-09-26,0.12418275945837998
1980-09-29,0.8891877114327373
1980-09-30,0.2224970576780061
1980-10-01,0.6588056352602178
1980-10-02,-0.05166551491351257
1980-10-03,0.32081821943426014
1980-10-06,0.192373058730122
1980-10-07,-0.08482170180694748
1980-10-08,-0.4836435318139154
1980-10-09,0.2103869649882517
