Date,XAU_USD
1980-09-04,1.648998822143688
1980-09-05,0.5793742757821629
1980-09-08,3.2258064516129004
1980-09-09,-0.22321428571429047
1980-09-10,2.386278896346017
1980-09-11,-1.8208302986161717
1980-09-12,1.7062314540059242
1980-09-15,-2.7716994894237734
1980-09-16,0.22505626406601476
1980-09-17,0.7485029940119681
1980-09-18,-0.11144130757800852
1980-09-19,0.2603198214949698
1980-09-22,5.341246290801194
1980-09-23,0.14084507042253502
1980-09-24,-0.07032348804500987
1980-09-25,-1.7945109078113974
1980-09-26,0.07165890361877647
1980-09-29,-2.7210884353741527
1980-09-30,-1.8402649981597352
1980-10-01,2.287214098237711
1980-10-02,-2.382697947214074
1980-10-03,-0.7885843034171947
1980-10-06,2.3164269492808476
1980-10-07,0.3477360165729637
1980-10-08,-0.16957900169578544
